tr_tra_name_2018,Date,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland,Italy,Netherlands,Switzerland
Macedon,2017,,,,,,,,,,,,,,,,,,,,,,
Mallee,2017,,,,,,,,,,,,,,,,,,,,,,
Melbourne East,2017,,,,,,,,,,,,,,1,,,,,,,,
Murray East,2017,,,,,,,,,,,,,,,,,,,,,,
Peninsula,2017,1,,,,,,,,,,,,,2,,,,,,,,
Phillip Island,2017,,,,,,,,,,,,,,,,,,,,,,
Spa Country,2017,,,,,,,,,,,,,,,,,,,,,,
Upper Yarra,2017,,,,,,,,,,,,,,,,,,,,,,
Western Grampians,2017,,,,,,,,,,,,,,,,,,,,,,
Wimmera,2017,,,,,,,,,,,,,,,,,,,,,,
Brisbane,2017,46,33,29,25,13,49,14,38,239,33,96,31,128,61,26,25,14,13,13,14,13,13
Bundaberg,2017,,,,,,,,,,,,,,7,1,,,,,,,
Southern Queensland Country,2017,,,,,,,,,,,,,,,,,,,,,,
Fraser Coast,2017,,,,,,,,,,,,,,31,9,8,5,,7,5,,
Gold Coast,2017,65,36,29,24,8,,7,,309,32,37,16,67,24,15,9,7,5,7,7,5,7
Mackay,2017,,,,,,,,,,,,,,9,2,,,,,,,
Townsville,2017,,,,,,,,,,,,7,,27,11,9,3,,6,3,,
Outback Queensland,2017,,,,,,,,,,,,,,,,,,,,,,
Sunshine Coast,2017,6,,,,,,,,,,,14,58,35,15,9,5,,10,5,9,
Tropical North Queensland,2017,111,18,6,,,,,,217,30,110,21,91,55,25,23,14,12,12,14,,12
Whitsundays,2017,,1,,,,,,,,1,,9,51,36,12,12,6,7,9,6,,
Capricorn,2017,,,,,,,,,,,,,,13,3,,,,,,,
Gladstone,2017,,,,,,,,,,,,,,12,4,,,,,,,
Adelaide,2017,7,13,14,13,8,4,,,,12,54,10,66,24,10,12,10,8,8,10,,
Adelaide Hills,2017,,,,,,,,,,,,,,,,,,,,,,
Barossa,2017,,,,,,,,,,,,,,,,,,,,,,
Clare Valley,2017,,,,,,,,,,,,,,,,,,,,,,
Eyre Peninsula,2017,,,,,,,,,,,,,,,,,,,,,,
Fleurieu Peninsula,2017,,,,,,,,,,,,,,,,,,,,,,
Limestone Coast,2017,,,,,,,,,,,,,,,,,,,,,,
"Murray River, Lakes and Coorong",2017,,,,,,,,,,,,,,,,,,,,,,
Riverland,2017,,,,,,,,,,,,,,,,,,,,,,
Yorke Peninsula,2017,,,,,,,,,,,,,,,,,,,,,,
Flinders Ranges and Outback,2017,,,,,,,,,,,,,,5,1,,,,,,,
Kangaroo Island,2017,,,,,,,,,,,,,,,,,,,,,,
Experience Perth,2017,27,24,98,109,28,11,12,10,58,27,76,17,140,30,14,18,11,8,11,11,8,
