DATE,LGA_CODE,LGA Name,"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing  (%),"Electricity, Gas, Water & Waste Services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, Postal and Warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, Hiring, & Real Estate Services (%)",Professional Scientific & Technical Services (%),Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Total persons employed (no.)
2011,17350,Temora (A),20.8,0.4,4,2.1,5.6,4.6,12.7,4.8,6.3,0.4,1.9,0.9,4.1,1.2,5.6,8.6,9.9,0.8,3.6,2375
2011,17400,Tenterfield (A),20.2,1.9,6,0.9,7.5,2.3,11,6.8,4.4,0.3,0.9,0.8,3.5,1.9,5.8,7.7,11.1,0.8,3.8,2585
2011,17420,The Hills Shire (A),0.6,0.1,8.3,1,8.4,7.2,11.1,4.5,3.4,2.5,6.3,1.9,10,2.8,4.7,9,10.6,1.3,3.9,74004
2011,17550,Tweed (A),2.6,0.6,5.8,1,11.3,2.7,12.8,10.4,3.9,1,1.9,2,4.6,3.6,5.5,8,14.8,1.6,3.5,32665
2011,17620,Upper Hunter Shire (A),19,10.9,6.2,2.1,6.4,2.8,8.4,6.6,3.6,0.3,1.2,0.9,3.9,1.8,4.2,6.6,7.7,1.5,3.4,6526
2011,17640,Upper Lachlan Shire (A),26.5,0.3,4.3,1.2,7.1,2,7,4.8,3.3,0.9,1.4,0.7,4.2,1.7,9.6,6.9,10.6,1,3.7,3473
2011,17650,Uralla (A),17.5,0.5,4.4,0.7,7.3,1.9,9.5,5.6,3.3,0.8,1.7,1.2,4.5,2.1,6.3,13.9,11.6,1.1,3.7,2735
2011,17750,Wagga Wagga (C),3.9,0.2,7.4,1.1,7.6,3.7,11.7,7.3,4.7,1,2.1,1.3,3.7,2.6,10.9,10.8,13.5,0.7,4,29071
2011,17850,Walcha (A),43.4,0.2,1.9,1,4.7,0.8,6.7,4.7,5,0.6,1.6,0.4,3,1.8,5.2,5.6,7.5,1,2.8,1453
2011,17900,Walgett (A),28.9,2.2,2.5,0.9,3.8,1.9,6.8,6.6,3.6,0.3,0.8,0.4,2,1.9,8.1,10.6,11.4,1.6,2.7,2316
2011,17950,Warren (A),40.9,0.3,2.8,1.5,2.8,3.9,6.6,3.4,2.9,0.2,0.7,0.2,3,2.6,6.6,6.5,8,0.2,2.6,1305
2011,18020,Warrumbungle Shire (A),27.4,1,3.5,1.3,4.2,2.5,9.7,6.4,4.1,0.2,0.9,0.6,2.4,1.5,6.5,9.9,11.4,1.4,3,3615
2011,18050,Waverley (A),0.2,0.2,3.7,0.4,5.6,4.5,7.5,6.5,2.7,6,9.5,2.4,17.2,4.4,3.8,7.8,9.4,2.6,3.1,34031
2011,18100,Weddin (A),36.7,1,3,0.8,5.2,2.8,8.1,3.3,4.9,0.6,0.6,0.2,2.8,1,5.1,8.5,9.9,0.8,3,1448
2011,18200,Wentworth (A),19.8,3.8,6,2.3,6,3.2,8.8,7.1,4.1,0.5,1.5,1.1,2.6,4,5.3,7.4,9.7,1.1,3,2894
2011,18230,Western Plains Regional (A),5.3,0.9,6.4,1.5,7,3.9,12.1,7.3,4.7,1.1,2.2,1.4,4.1,2.4,8,9.3,14.6,1.5,4.5,21433
2011,18250,Willoughby (C),0.2,0.3,4.3,0.5,3.9,5.6,7.4,6,2.6,5.2,11.7,2.3,18.7,3.6,3.6,7,10.3,1.5,2.8,33657
2011,18350,Wingecarribee (A),3.3,1,10.1,1,8.6,3.4,11.7,8.2,4.5,1.3,2.2,2.1,6.4,3.4,4.3,9.3,11.9,1.4,3.7,19261
2011,18400,Wollondilly (A),2.4,2.2,12.5,1.7,12,4.3,9.8,4.7,6.5,0.8,2.3,1.7,4.7,2.5,5.7,8.2,9.9,1.4,4.4,21292
2011,18450,Wollongong (C),0.3,2.7,9.7,1.1,7.2,2.5,9.8,7.2,4.9,1.4,3.9,1.5,5.7,3.2,7,11.1,13.4,1.4,4,82852
2011,18500,Woollahra (A),0.3,0.3,3.5,0.4,3.6,4.9,7.2,5.5,2.2,5.2,12.4,3.5,18.8,3.9,3.7,6.6,10.4,2.5,2.5,26543
2011,18710,Yass Valley (A),8.2,0.2,3,2,10.2,2.2,7.9,6.5,2.9,1.5,1.4,1.3,8.2,2.1,19.1,8.1,8.7,1.4,3.1,7763
2011,19399,Unincorporated NSW,42.9,1.4,1.1,,4.8,0.8,3.1,19,1.5,,,0.5,1.5,2.8,6.9,3.4,4.3,2.8,1.1,651
2011,20110,Alpine (S),9.7,0.5,8.8,1.8,8.4,1.8,11.2,13.6,3.6,0.6,1.4,2.2,3.2,2.5,5.6,7.7,10.6,1.8,3,5345
2011,20260,Ararat (RC),16.3,1,12.9,0.5,6.2,3.3,9.3,6,3,0.6,1,0.7,2,1.8,9.4,6.2,13.4,1.3,3.1,4782
2011,20570,Ballarat (C),1.5,0.7,10.7,1,8.7,2.5,12.7,7.4,3.5,2,2,1.1,5.6,2.5,6,9.8,15.3,1.8,3.5,42290
2011,20660,Banyule (C),0.2,0.2,8,0.8,8.4,4,9.7,4.8,3.7,2.3,4.7,1.4,9.4,3,7.1,10.7,14.5,1.8,3.3,58672
2011,20740,Bass Coast (S),5.3,0.5,6.2,2.2,16.5,3.4,11.3,10.3,3,0.7,1.3,1.6,4,2.7,4.3,7.1,11.2,2.9,3.2,12140
2011,20830,Baw Baw (S),9.2,0.8,9.3,1.8,11.3,4.2,9.9,5.5,4,1.1,1.8,1,4.3,2.4,5.1,9.3,11.3,1,4.8,19804
2011,20910,Bayside (C),0.3,0.4,7.3,0.8,6.3,5.5,9.7,4.8,2.6,2.8,6.6,2.5,15.2,3.2,4.1,9.5,11.2,2.3,2.8,43735
2011,21010,Benalla (RC),9.7,0.2,11.6,1.2,8.1,4.3,11.1,6.4,4.2,0.8,1.1,1.1,3.4,2.4,6.7,7.6,12.8,1.6,3.6,6023
2011,21110,Boroondara (C),0.3,0.3,5.6,0.9,4.5,4.6,9.7,5.9,2.3,2.9,7.4,2.1,15.5,3.1,4.3,10.1,13.7,2.1,2.5,80295
