sa2_name_2011,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
Mukinbudin,2015-12-01,,,,,,,,,
Kulin,2015-12-01,,,,,,,,,
Narrogin,2015-12-01,,,,,,,,,
Wagin,2015-12-01,,,,,,,,,
Augusta,2015-12-01,989,2914,33.9,1948,7874,24.7,140344,141.96,48.16
Busselton,2015-12-01,15797,23343,67.7,37136,86149,43.1,3013674,190.78,129.1
Busselton Region,2015-12-01,6248,9517,65.7,16486,42780,38.5,2103645,336.69,221.04
Margaret River,2015-12-01,6578,10540,62.4,14295,28861,49.5,1301866,197.91,123.52
Bunbury,2015-12-01,11087,17794,62.3,19004,47244,40.2,1593100,143.69,89.53
Collie,2015-12-01,386,3131,12.3,661,7471,8.8,38389,99.45,12.26
Eaton - Pelican Point,2015-12-01,,,,,,,,,
Harvey,2015-12-01,,,,,,,,,
Bridgetown - Boyup Brook,2015-12-01,,,,,,,,,
Donnybrook - Balingup,2015-12-01,,,,,,,,,
Manjimup,2015-12-01,,,,,,,,,
Pemberton,2015-12-01,3137,7378,42.5,7537,20646,36.5,455549,145.24,61.74
Albany,2015-12-01,8478,14477,58.6,16914,42470,39.8,1332623,157.19,92.05
Denmark,2015-12-01,1145,2015,56.8,2192,6076,36.1,100842,88.05,50.05
Gnowangerup,2015-12-01,,,,,,,,,
Katanning,2015-12-01,,,,,,,,,
Kojonup,2015-12-01,,,,,,,,,
McKail - Willyung,2015-12-01,,,,,,,,,
Plantagenet,2015-12-01,,,,,,,,,
Broome,2015-12-01,16429,39649,41.4,30091,113553,26.5,2925743,178.09,73.79
Derby - West Kimberley,2015-12-01,,,,,,,,,
Halls Creek,2015-12-01,,,,,,,,,
Kununurra,2015-12-01,2206,12338,17.9,3035,31713,9.6,386982,175.42,31.37
Roebuck,2015-12-01,,,,,,,,,
Ashburton (WA),2015-12-01,9193,21514,42.7,9665,37200,26,808803,87.98,37.59
East Pilbara,2015-12-01,,,,,,,,,
Karratha,2015-12-01,4507,9858,45.7,5083,20739,24.5,1030561,228.66,104.54
Newman,2015-12-01,6018,11377,52.9,6066,19034,31.9,590159,98.07,51.87
Port Hedland,2015-12-01,3878,11279,34.4,5273,20822,25.3,718520,185.26,63.7
Roebourne,2015-12-01,,,,,,,,,
South Hedland,2015-12-01,,,,,,,,,
Carnarvon,2015-12-01,2248,4929,45.6,4631,16461,28.1,390653,173.78,79.26
