sa2_name_2011,date,Establishments (no.),Rooms (no.),Bed spaces (no.)
Viewbank - Yallambie,2015-07-01,1,,
Kingsbury,2015-07-01,1,,
Preston,2015-07-01,2,,
Reservoir - West,2015-07-01,1,,
Bundoora - North,2015-07-01,1,,
Mill Park - North,2015-07-01,1,,
Thomastown,2015-07-01,1,,
Airport West,2015-07-01,1,,
Keilor,2015-07-01,2,,
Coburg North,2015-07-01,2,,
Fawkner,2015-07-01,2,,
Sunbury - South,2015-07-01,1,,
Broadmeadows,2015-07-01,1,,
Campbellfield - Coolaroo,2015-07-01,2,,
Gladstone Park - Westmeadows,2015-07-01,3,,
Melbourne Airport,2015-07-01,2,,
Tullamarine,2015-07-01,2,,
Ferntree Gully,2015-07-01,2,,
Rowville - South,2015-07-01,1,,
Wantirna,2015-07-01,2,,
Wantirna South,2015-07-01,2,,
Croydon,2015-07-01,3,81,212
Ringwood,2015-07-01,3,77,220
Forest Hill,2015-07-01,1,,
Nunawading,2015-07-01,2,,
Doveton,2015-07-01,2,,
Hallam,2015-07-01,1,,
Narre Warren,2015-07-01,1,,
Cranbourne,2015-07-01,3,94,203
Dandenong,2015-07-01,6,345,844
Keysborough,2015-07-01,1,,
Noble Park,2015-07-01,2,,
Springvale,2015-07-01,1,,
Ashwood - Chadstone,2015-07-01,1,,
Clayton,2015-07-01,3,76,216
Glen Waverley - East,2015-07-01,1,,
Glen Waverley - West,2015-07-01,5,542,1329
Mount Waverley - South,2015-07-01,1,,
Mulgrave,2015-07-01,1,,
Oakleigh - Huntingdale,2015-07-01,1,,
Ardeer - Albion,2015-07-01,2,,
Taylors Lakes,2015-07-01,1,,
Williamstown,2015-07-01,3,143,344
Footscray,2015-07-01,2,,
Caroline Springs,2015-07-01,2,,
Melton,2015-07-01,1,,
Melton South,2015-07-01,1,,
Hoppers Crossing - North,2015-07-01,1,,
Laverton,2015-07-01,1,,
Point Cook,2015-07-01,2,,
Werribee - South,2015-07-01,4,191,431
Nhill Region,2015-07-01,3,,
Buloke,2015-07-01,3,,
Mildura,2015-07-01,23,897,2447
Mildura Region,2015-07-01,1,,
Red Cliffs,2015-07-01,1,,
Gannawarra,2015-07-01,2,,
Kerang,2015-07-01,1,,
Swan Hill,2015-07-01,13,328,930
Swan Hill Region,2015-07-01,1,,
Lorne - Anglesea,2015-07-01,11,337,1019
Torquay,2015-07-01,4,246,645
Portland,2015-07-01,6,176,524
Camperdown,2015-07-01,2,,
Colac,2015-07-01,4,111,304
Corangamite - South,2015-07-01,6,116,384
Moyne - West,2015-07-01,5,124,384
Otway,2015-07-01,9,,
Warrnambool - North,2015-07-01,7,166,495
Warrnambool - South,2015-07-01,14,546,1524
Horsham,2015-07-01,14,,
Hamilton (Vic.),2015-07-01,5,126,326
Southern Grampians,2015-07-01,1,,
Maryborough (Vic.),2015-07-01,3,60,172
Bendigo,2015-07-01,12,468,1234
California Gully - Eaglehawk,2015-07-01,1,,
East Bendigo - Kennington,2015-07-01,4,154,339
Kangaroo Flat - Golden Square,2015-07-01,10,,
White Hills - Ascot,2015-07-01,1,,
Castlemaine,2015-07-01,3,55,156
Loddon,2015-07-01,1,,
Carrum Downs,2015-07-01,1,,
Frankston,2015-07-01,5,253,621
Seaford (Vic.),2015-07-01,1,,
Flinders,2015-07-01,3,,
Hastings - Somers,2015-07-01,2,,
Mornington,2015-07-01,2,,
Mount Eliza,2015-07-01,2,,
Point Nepean,2015-07-01,8,277,714
Rosebud - McCrae,2015-07-01,3,,
Somerville,2015-07-01,1,,
Echuca,2015-07-01,14,433,1119
Rochester,2015-07-01,1,,
Cobram,2015-07-01,2,,
Yarrawonga,2015-07-01,3,,
Euroa,2015-07-01,1,,
Kilmore - Broadford,2015-07-01,2,,
Nagambie,2015-07-01,4,76,229
Seymour,2015-07-01,3,48,123
Seymour Region,2015-07-01,2,,
Wallan,2015-07-01,1,,
Mooroopna,2015-07-01,2,,
Shepparton - North,2015-07-01,6,177,494
Shepparton - South,2015-07-01,11,402,1092
Mansfield (Vic.),2015-07-01,18,531,1977
Benalla,2015-07-01,5,100,289
Rutherglen,2015-07-01,3,47,118
Wangaratta,2015-07-01,8,258,812
Wangaratta Region,2015-07-01,1,,
Beechworth,2015-07-01,3,63,181
Towong,2015-07-01,3,63,180
Bright - Mount Beauty,2015-07-01,37,1005,4007
Myrtleford,2015-07-01,2,,
Yackandandah,2015-07-01,1,,
Bairnsdale,2015-07-01,8,214,535
Bruthen - Omeo,2015-07-01,1,,
Lakes Entrance,2015-07-01,11,444,1258
Orbost,2015-07-01,3,64,187
Paynesville,2015-07-01,2,,
Drouin,2015-07-01,1,,
Mount Baw Baw Region,2015-07-01,2,,
Warragul,2015-07-01,4,105,266
Foster,2015-07-01,2,,
Korumburra,2015-07-01,1,,
Leongatha,2015-07-01,1,,
Moe - Newborough,2015-07-01,2,,
Morwell,2015-07-01,6,155,401
Traralgon,2015-07-01,8,284,721
Maffra,2015-07-01,1,,
Sale,2015-07-01,8,312,820
Yarram,2015-07-01,2,,
Eltham,2015-07-01,2,,
Chirnside Park,2015-07-01,1,,
Healesville - Yarra Glen,2015-07-01,3,,
Kilsyth,2015-07-01,1,,
Lilydale - Coldstream,2015-07-01,3,103,238
Mount Dandenong - Olinda,2015-07-01,2,,
Mount Evelyn,2015-07-01,1,,
Yarra Valley,2015-07-01,3,70,164
Beaconsfield - Officer,2015-07-01,1,,
Belmont,2015-07-01,5,,
Corio - Norlane,2015-07-01,1,,
Geelong,2015-07-01,12,640,1625
Geelong West - Hamlyn Heights,2015-07-01,1,,
Newtown (Vic.),2015-07-01,3,70,171
North Geelong - Bell Park,2015-07-01,1,,
Ocean Grove - Barwon Heads,2015-07-01,2,,
Portarlington,2015-07-01,1,,
Queenscliff,2015-07-01,3,,
Woodend,2015-07-01,1,,
Macedon,2015-07-01,1,,
Romsey,2015-07-01,3,,
Creswick - Clunes,2015-07-01,1,,
Daylesford,2015-07-01,5,,
Alfredton,2015-07-01,5,162,522
Ballarat,2015-07-01,12,385,911
Ballarat - North,2015-07-01,6,,
Ballarat - South,2015-07-01,6,264,950
Delacombe,2015-07-01,1,,
Avoca,2015-07-01,1,,
Ararat,2015-07-01,3,60,182
St Arnaud,2015-07-01,1,,
Stawell,2015-07-01,9,,
Alexandra,2015-07-01,7,,
Yea,2015-07-01,1,,
Wodonga,2015-07-01,7,248,779
Phillip Island,2015-07-01,11,,
Wonthaggi - Inverloch,2015-07-01,3,,
Brunswick,2015-10-01,4,160,423
Thornbury,2015-10-01,1,,
Essendon - Aberfeldie,2015-10-01,4,171,431
Flemington,2015-10-01,1,,
Moonee Ponds,2015-10-01,1,,
Carlton,2015-10-01,8,698,1551
Docklands,2015-10-01,7,1187,3133
East Melbourne,2015-10-01,16,1498,3367
Melbourne,2015-10-01,88,12914,30171
North Melbourne,2015-10-01,6,235,548
Parkville,2015-10-01,4,267,729
South Yarra - West,2015-10-01,1,,
Southbank,2015-10-01,13,3276,8089
Albert Park,2015-10-01,8,1518,3166
South Melbourne,2015-10-01,3,158,473
St Kilda,2015-10-01,14,824,1816
Prahran - Windsor,2015-10-01,1,,
South Yarra - East,2015-10-01,13,855,1999
Toorak,2015-10-01,1,,
Abbotsford,2015-10-01,2,,
Carlton North - Princes Hill,2015-10-01,1,,
Fitzroy,2015-10-01,3,141,428
Richmond (Vic.),2015-10-01,3,246,499
Yarra - North,2015-10-01,1,,
Hawthorn,2015-10-01,1,,
Hawthorn East,2015-10-01,1,,
Kew,2015-10-01,4,247,597
Doncaster,2015-10-01,1,,
Doncaster East,2015-10-01,1,,
Blackburn,2015-10-01,1,,
Box Hill,2015-10-01,1,,
Burwood,2015-10-01,2,,
Burwood East,2015-10-01,1,,
Surrey Hills (East) - Mont Albert,2015-10-01,2,,
Beaumaris,2015-10-01,1,,
Brighton (Vic.),2015-10-01,3,157,344
Carnegie,2015-10-01,1,,
Caulfield - North,2015-10-01,1,,
Hughesdale,2015-10-01,3,85,206
Braeside,2015-10-01,1,,
Cheltenham - Highett (East),2015-10-01,2,,
Mentone,2015-10-01,1,,
Moorabbin - Heatherton,2015-10-01,2,,
Ivanhoe,2015-10-01,1,,
Viewbank - Yallambie,2015-10-01,1,,
Kingsbury,2015-10-01,1,,
Preston,2015-10-01,2,,
Reservoir - West,2015-10-01,1,,
Bundoora - North,2015-10-01,1,,
Mill Park - North,2015-10-01,1,,
Thomastown,2015-10-01,1,,
Airport West,2015-10-01,1,,
Keilor,2015-10-01,2,,
Coburg North,2015-10-01,2,,
Fawkner,2015-10-01,2,,
Sunbury - South,2015-10-01,1,,
Broadmeadows,2015-10-01,1,,
Campbellfield - Coolaroo,2015-10-01,2,,
Gladstone Park - Westmeadows,2015-10-01,3,,
Melbourne Airport,2015-10-01,2,,
Tullamarine,2015-10-01,2,,
Ferntree Gully,2015-10-01,2,,
Rowville - South,2015-10-01,1,,
Wantirna,2015-10-01,2,,
Wantirna South,2015-10-01,2,,
Croydon,2015-10-01,3,81,212
Ringwood,2015-10-01,3,77,220
Forest Hill,2015-10-01,1,,
Nunawading,2015-10-01,2,,
Doveton,2015-10-01,2,,
Hallam,2015-10-01,1,,
Narre Warren,2015-10-01,1,,
Cranbourne,2015-10-01,3,94,203
Dandenong,2015-10-01,6,345,816
Keysborough,2015-10-01,1,,
Noble Park,2015-10-01,2,,
Springvale,2015-10-01,1,,
Ashwood - Chadstone,2015-10-01,1,,
Clayton,2015-10-01,3,76,216
Glen Waverley - East,2015-10-01,1,,
Glen Waverley - West,2015-10-01,5,542,1329
Mount Waverley - South,2015-10-01,1,,
Mulgrave,2015-10-01,1,,
Oakleigh - Huntingdale,2015-10-01,1,,
Ardeer - Albion,2015-10-01,2,,
Taylors Lakes,2015-10-01,1,,
Williamstown,2015-10-01,3,143,344
Footscray,2015-10-01,2,,
Caroline Springs,2015-10-01,2,,
Melton,2015-10-01,1,,
Melton South,2015-10-01,1,,
Hoppers Crossing - North,2015-10-01,1,,
Laverton,2015-10-01,1,,
Point Cook,2015-10-01,2,,
Werribee - South,2015-10-01,4,191,431
Nhill Region,2015-10-01,3,,
Buloke,2015-10-01,3,,
Mildura,2015-10-01,23,897,2447
Mildura Region,2015-10-01,1,,
Red Cliffs,2015-10-01,1,,
Gannawarra,2015-10-01,2,,
Kerang,2015-10-01,1,,
Swan Hill,2015-10-01,13,328,930
Swan Hill Region,2015-10-01,1,,
Lorne - Anglesea,2015-10-01,11,347,1034
Torquay,2015-10-01,4,246,645
Portland,2015-10-01,6,176,524
Camperdown,2015-10-01,2,,
Colac,2015-10-01,4,111,304
Corangamite - South,2015-10-01,6,116,384
Moyne - West,2015-10-01,5,124,384
Otway,2015-10-01,9,,
Warrnambool - North,2015-10-01,7,166,495
Warrnambool - South,2015-10-01,14,546,1524
Horsham,2015-10-01,14,,
Hamilton (Vic.),2015-10-01,5,126,326
Southern Grampians,2015-10-01,1,,
Maryborough (Vic.),2015-10-01,3,61,180
Bendigo,2015-10-01,12,468,1234
California Gully - Eaglehawk,2015-10-01,1,,
East Bendigo - Kennington,2015-10-01,4,154,339
Kangaroo Flat - Golden Square,2015-10-01,10,,
White Hills - Ascot,2015-10-01,1,,
Castlemaine,2015-10-01,3,55,156
Loddon,2015-10-01,1,,
Carrum Downs,2015-10-01,1,,
Frankston,2015-10-01,5,253,609
Seaford (Vic.),2015-10-01,1,,
Flinders,2015-10-01,3,,
Hastings - Somers,2015-10-01,2,,
Mornington,2015-10-01,2,,
Mount Eliza,2015-10-01,2,,
Point Nepean,2015-10-01,8,277,714
Rosebud - McCrae,2015-10-01,3,,
Somerville,2015-10-01,1,,
Echuca,2015-10-01,14,433,1119
Rochester,2015-10-01,1,,
Cobram,2015-10-01,2,,
Yarrawonga,2015-10-01,3,,
Euroa,2015-10-01,1,,
Kilmore - Broadford,2015-10-01,2,,
Nagambie,2015-10-01,4,76,229
Seymour,2015-10-01,3,48,123
Seymour Region,2015-10-01,2,,
Wallan,2015-10-01,1,,
Mooroopna,2015-10-01,2,,
Shepparton - North,2015-10-01,6,183,506
Shepparton - South,2015-10-01,11,402,1093
Mansfield (Vic.),2015-10-01,18,531,1977
Benalla,2015-10-01,5,101,291
Rutherglen,2015-10-01,3,47,117
Wangaratta,2015-10-01,8,258,812
Wangaratta Region,2015-10-01,1,,
Beechworth,2015-10-01,3,63,181
Towong,2015-10-01,3,63,180
Bright - Mount Beauty,2015-10-01,37,1005,4007
Myrtleford,2015-10-01,2,,
Yackandandah,2015-10-01,1,,
Bairnsdale,2015-10-01,8,214,535
Bruthen - Omeo,2015-10-01,1,,
Lakes Entrance,2015-10-01,11,444,1258
Orbost,2015-10-01,3,64,187
Paynesville,2015-10-01,2,,
Drouin,2015-10-01,1,,
Mount Baw Baw Region,2015-10-01,2,,
Warragul,2015-10-01,4,105,266
Foster,2015-10-01,2,,
Korumburra,2015-10-01,1,,
Leongatha,2015-10-01,1,,
Moe - Newborough,2015-10-01,2,,
Morwell,2015-10-01,6,156,404
Traralgon,2015-10-01,8,284,721
Maffra,2015-10-01,1,,
Sale,2015-10-01,8,312,820
Yarram,2015-10-01,2,,
Eltham,2015-10-01,2,,
Chirnside Park,2015-10-01,1,,
Healesville - Yarra Glen,2015-10-01,3,,
Kilsyth,2015-10-01,1,,
Lilydale - Coldstream,2015-10-01,3,103,238
Mount Dandenong - Olinda,2015-10-01,2,,
Mount Evelyn,2015-10-01,1,,
Yarra Valley,2015-10-01,3,70,164
Beaconsfield - Officer,2015-10-01,1,,
Belmont,2015-10-01,5,,
Corio - Norlane,2015-10-01,1,,
Geelong,2015-10-01,12,640,1625
Geelong West - Hamlyn Heights,2015-10-01,1,,
Newtown (Vic.),2015-10-01,3,70,171
North Geelong - Bell Park,2015-10-01,1,,
Ocean Grove - Barwon Heads,2015-10-01,2,,
Portarlington,2015-10-01,1,,
Queenscliff,2015-10-01,3,,
Woodend,2015-10-01,1,,
Macedon,2015-10-01,1,,
Romsey,2015-10-01,3,,
Creswick - Clunes,2015-10-01,1,,
Daylesford,2015-10-01,5,,
Alfredton,2015-10-01,5,162,522
Ballarat,2015-10-01,12,385,911
Ballarat - North,2015-10-01,6,,
Ballarat - South,2015-10-01,6,264,950
Delacombe,2015-10-01,1,,
Avoca,2015-10-01,1,,
Ararat,2015-10-01,3,60,182
St Arnaud,2015-10-01,1,,
Stawell,2015-10-01,9,,
Alexandra,2015-10-01,7,,
Yea,2015-10-01,1,,
Wodonga,2015-10-01,7,248,779
Phillip Island,2015-10-01,11,,
Wonthaggi - Inverloch,2015-10-01,3,,
Brunswick,2016-01-01,4,160,423
Thornbury,2016-01-01,1,,
Essendon - Aberfeldie,2016-01-01,4,171,435
Flemington,2016-01-01,1,,
Moonee Ponds,2016-01-01,1,,
Carlton,2016-01-01,8,698,1551
Docklands,2016-01-01,7,1184,3133
East Melbourne,2016-01-01,16,1498,3359
Melbourne,2016-01-01,88,12953,30166
North Melbourne,2016-01-01,6,235,548
Parkville,2016-01-01,3,226,607
South Yarra - West,2016-01-01,1,,
Southbank,2016-01-01,14,3373,8377
Albert Park,2016-01-01,8,1512,3154
South Melbourne,2016-01-01,3,158,473
St Kilda,2016-01-01,14,822,1816
Prahran - Windsor,2016-01-01,1,,
South Yarra - East,2016-01-01,13,860,2011
Toorak,2016-01-01,1,,
Abbotsford,2016-01-01,2,,
Carlton North - Princes Hill,2016-01-01,1,,
Fitzroy,2016-01-01,3,141,428
Richmond (Vic.),2016-01-01,3,246,499
Yarra - North,2016-01-01,1,,
Hawthorn,2016-01-01,1,,
Hawthorn East,2016-01-01,1,,
Kew,2016-01-01,4,247,597
Doncaster,2016-01-01,1,,
Doncaster East,2016-01-01,1,,
Blackburn,2016-01-01,1,,
Box Hill,2016-01-01,1,,
Burwood,2016-01-01,2,,
Burwood East,2016-01-01,1,,
Surrey Hills (East) - Mont Albert,2016-01-01,2,,
Beaumaris,2016-01-01,1,,
Brighton (Vic.),2016-01-01,3,157,344
Carnegie,2016-01-01,1,,
Caulfield - North,2016-01-01,1,,
Hughesdale,2016-01-01,2,,
Braeside,2016-01-01,1,,
Cheltenham - Highett (East),2016-01-01,2,,
Mentone,2016-01-01,1,,
Moorabbin - Heatherton,2016-01-01,2,,
Ivanhoe,2016-01-01,1,,
Viewbank - Yallambie,2016-01-01,1,,
Kingsbury,2016-01-01,1,,
Preston,2016-01-01,2,,
Reservoir - West,2016-01-01,1,,
Bundoora - North,2016-01-01,1,,
Mill Park - North,2016-01-01,1,,
Thomastown,2016-01-01,1,,
Airport West,2016-01-01,1,,
Keilor,2016-01-01,2,,
Coburg North,2016-01-01,2,,
Fawkner,2016-01-01,2,,
Sunbury - South,2016-01-01,1,,
Broadmeadows,2016-01-01,1,,
Campbellfield - Coolaroo,2016-01-01,2,,
Gladstone Park - Westmeadows,2016-01-01,3,447,956
Melbourne Airport,2016-01-01,2,,
Tullamarine,2016-01-01,2,,
Ferntree Gully,2016-01-01,2,,
Rowville - South,2016-01-01,1,,
Wantirna,2016-01-01,2,,
Wantirna South,2016-01-01,2,,
Croydon,2016-01-01,3,81,197
Ringwood,2016-01-01,3,77,220
Forest Hill,2016-01-01,1,,
Nunawading,2016-01-01,2,,
Doveton,2016-01-01,2,,
Hallam,2016-01-01,1,,
Narre Warren,2016-01-01,1,,
Cranbourne,2016-01-01,3,94,203
Dandenong,2016-01-01,6,345,816
Keysborough,2016-01-01,1,,
Noble Park,2016-01-01,2,,
Springvale,2016-01-01,1,,
Ashwood - Chadstone,2016-01-01,1,,
Clayton,2016-01-01,3,76,216
Glen Waverley - East,2016-01-01,1,,
Glen Waverley - West,2016-01-01,5,542,1329
Mount Waverley - South,2016-01-01,1,,
Mulgrave,2016-01-01,1,,
Oakleigh - Huntingdale,2016-01-01,1,,
Ardeer - Albion,2016-01-01,2,,
Taylors Lakes,2016-01-01,1,,
Williamstown,2016-01-01,3,143,344
Footscray,2016-01-01,2,,
Caroline Springs,2016-01-01,2,,
Melton,2016-01-01,1,,
Melton South,2016-01-01,1,,
Hoppers Crossing - North,2016-01-01,1,,
Laverton,2016-01-01,1,,
Point Cook,2016-01-01,2,,
Werribee - South,2016-01-01,4,191,431
Nhill Region,2016-01-01,3,,
Buloke,2016-01-01,3,,
Mildura,2016-01-01,23,897,2447
Mildura Region,2016-01-01,1,,
Red Cliffs,2016-01-01,1,,
Gannawarra,2016-01-01,2,,
Kerang,2016-01-01,1,,
Swan Hill,2016-01-01,13,348,981
Swan Hill Region,2016-01-01,1,,
Lorne - Anglesea,2016-01-01,11,375,1063
Torquay,2016-01-01,4,244,639
Portland,2016-01-01,6,176,524
Camperdown,2016-01-01,2,,
Colac,2016-01-01,4,111,304
Corangamite - South,2016-01-01,6,116,384
Moyne - West,2016-01-01,5,124,384
Otway,2016-01-01,9,,
Warrnambool - North,2016-01-01,7,166,495
Warrnambool - South,2016-01-01,14,546,1524
Horsham,2016-01-01,14,,
Hamilton (Vic.),2016-01-01,5,126,326
Southern Grampians,2016-01-01,1,,
Maryborough (Vic.),2016-01-01,3,61,180
Bendigo,2016-01-01,12,468,1234
California Gully - Eaglehawk,2016-01-01,1,,
East Bendigo - Kennington,2016-01-01,4,154,339
Kangaroo Flat - Golden Square,2016-01-01,10,,
White Hills - Ascot,2016-01-01,1,,
Castlemaine,2016-01-01,3,55,156
Loddon,2016-01-01,1,,
Carrum Downs,2016-01-01,1,,
Frankston,2016-01-01,5,253,621
Seaford (Vic.),2016-01-01,1,,
Flinders,2016-01-01,3,,
Hastings - Somers,2016-01-01,2,,
Mornington,2016-01-01,2,,
Mount Eliza,2016-01-01,2,,
Point Nepean,2016-01-01,8,277,714
Rosebud - McCrae,2016-01-01,3,,
Somerville,2016-01-01,1,,
Echuca,2016-01-01,14,433,1119
Rochester,2016-01-01,1,,
Cobram,2016-01-01,2,,
Yarrawonga,2016-01-01,3,92,256
Euroa,2016-01-01,1,,
Kilmore - Broadford,2016-01-01,2,,
Nagambie,2016-01-01,4,76,229
Seymour,2016-01-01,3,48,123
Seymour Region,2016-01-01,2,,
Wallan,2016-01-01,1,,
Mooroopna,2016-01-01,2,,
Shepparton - North,2016-01-01,6,183,506
Shepparton - South,2016-01-01,11,402,1094
Mansfield (Vic.),2016-01-01,18,527,1967
Benalla,2016-01-01,5,101,291
Rutherglen,2016-01-01,3,47,117
Wangaratta,2016-01-01,8,258,812
Wangaratta Region,2016-01-01,1,,
Beechworth,2016-01-01,3,63,181
Towong,2016-01-01,3,63,180
Bright - Mount Beauty,2016-01-01,37,1005,4006
Myrtleford,2016-01-01,2,,
Yackandandah,2016-01-01,1,,
Bairnsdale,2016-01-01,8,215,537
Bruthen - Omeo,2016-01-01,1,,
Lakes Entrance,2016-01-01,11,444,1258
Orbost,2016-01-01,3,65,188
Paynesville,2016-01-01,2,,
Drouin,2016-01-01,1,,
Mount Baw Baw Region,2016-01-01,2,,
Warragul,2016-01-01,4,105,266
Foster,2016-01-01,2,,
Korumburra,2016-01-01,1,,
Leongatha,2016-01-01,1,,
Moe - Newborough,2016-01-01,2,,
Morwell,2016-01-01,6,157,408
Traralgon,2016-01-01,8,284,721
Maffra,2016-01-01,1,,
Sale,2016-01-01,8,312,820
Yarram,2016-01-01,2,,
Eltham,2016-01-01,2,,
Chirnside Park,2016-01-01,1,,
Healesville - Yarra Glen,2016-01-01,3,,
Kilsyth,2016-01-01,1,,
Lilydale - Coldstream,2016-01-01,3,103,238
Mount Dandenong - Olinda,2016-01-01,2,,
Mount Evelyn,2016-01-01,1,,
Yarra Valley,2016-01-01,3,70,164
Beaconsfield - Officer,2016-01-01,1,,
Belmont,2016-01-01,5,,
Corio - Norlane,2016-01-01,1,,
Geelong,2016-01-01,12,640,1625
Geelong West - Hamlyn Heights,2016-01-01,1,,
Newtown (Vic.),2016-01-01,3,70,171
North Geelong - Bell Park,2016-01-01,1,,
Ocean Grove - Barwon Heads,2016-01-01,2,,
Portarlington,2016-01-01,1,,
Queenscliff,2016-01-01,3,,
Woodend,2016-01-01,1,,
Macedon,2016-01-01,1,,
Romsey,2016-01-01,3,,
Creswick - Clunes,2016-01-01,1,,
Daylesford,2016-01-01,5,,
Alfredton,2016-01-01,5,162,522
Ballarat,2016-01-01,12,385,911
Ballarat - North,2016-01-01,6,,
Ballarat - South,2016-01-01,6,273,968
Delacombe,2016-01-01,1,,
Avoca,2016-01-01,1,,
Ararat,2016-01-01,3,60,182
St Arnaud,2016-01-01,1,,
Stawell,2016-01-01,9,,
Alexandra,2016-01-01,7,,
Yea,2016-01-01,1,,
Wodonga,2016-01-01,7,248,779
Phillip Island,2016-01-01,11,,
Wonthaggi - Inverloch,2016-01-01,3,,
Brunswick,2016-04-01,4,160,423
Thornbury,2016-04-01,1,,
Essendon - Aberfeldie,2016-04-01,4,171,435
Flemington,2016-04-01,1,,
Moonee Ponds,2016-04-01,1,,
Carlton,2016-04-01,8,706,1548
Docklands,2016-04-01,7,1184,3133
East Melbourne,2016-04-01,16,1498,3359
Melbourne,2016-04-01,88,12928,30082
North Melbourne,2016-04-01,6,235,548
Parkville,2016-04-01,3,226,607
South Yarra - West,2016-04-01,1,,
Southbank,2016-04-01,14,3371,8395
Albert Park,2016-04-01,7,1471,3072
South Melbourne,2016-04-01,3,158,473
St Kilda,2016-04-01,14,822,1816
Prahran - Windsor,2016-04-01,1,,
South Yarra - East,2016-04-01,12,844,1949
Toorak,2016-04-01,1,,
Abbotsford,2016-04-01,2,,
Carlton North - Princes Hill,2016-04-01,1,,
Fitzroy,2016-04-01,3,141,428
Richmond (Vic.),2016-04-01,3,246,499
Yarra - North,2016-04-01,1,,
Hawthorn,2016-04-01,1,,
Hawthorn East,2016-04-01,1,,
Kew,2016-04-01,4,247,597
Doncaster,2016-04-01,1,,
Doncaster East,2016-04-01,1,,
Blackburn,2016-04-01,1,,
Box Hill,2016-04-01,1,,
Burwood,2016-04-01,2,,
Burwood East,2016-04-01,1,,
Surrey Hills (East) - Mont Albert,2016-04-01,2,,
Beaumaris,2016-04-01,1,,
Brighton (Vic.),2016-04-01,3,157,344
Carnegie,2016-04-01,1,,
Caulfield - North,2016-04-01,1,,
Hughesdale,2016-04-01,2,,
Braeside,2016-04-01,1,,
Cheltenham - Highett (East),2016-04-01,2,,
Mentone,2016-04-01,1,,
Moorabbin - Heatherton,2016-04-01,2,,
Ivanhoe,2016-04-01,1,,
Viewbank - Yallambie,2016-04-01,1,,
Kingsbury,2016-04-01,1,,
Preston,2016-04-01,2,,
Reservoir - West,2016-04-01,1,,
Bundoora - North,2016-04-01,1,,
Mill Park - North,2016-04-01,1,,
Thomastown,2016-04-01,1,,
Airport West,2016-04-01,1,,
Keilor,2016-04-01,2,,
Coburg North,2016-04-01,2,,
Fawkner,2016-04-01,2,,
Sunbury - South,2016-04-01,1,,
Broadmeadows,2016-04-01,1,,
Campbellfield - Coolaroo,2016-04-01,2,,
Gladstone Park - Westmeadows,2016-04-01,3,449,963
Melbourne Airport,2016-04-01,2,,
Tullamarine,2016-04-01,2,,
Ferntree Gully,2016-04-01,2,,
Rowville - South,2016-04-01,1,,
Wantirna,2016-04-01,2,,
Wantirna South,2016-04-01,2,,
Croydon,2016-04-01,3,81,197
Ringwood,2016-04-01,3,73,220
Forest Hill,2016-04-01,1,,
Nunawading,2016-04-01,2,,
Doveton,2016-04-01,2,,
Hallam,2016-04-01,1,,
Narre Warren,2016-04-01,1,,
Cranbourne,2016-04-01,3,94,203
Dandenong,2016-04-01,6,345,844
Keysborough,2016-04-01,1,,
Noble Park,2016-04-01,2,,
Springvale,2016-04-01,1,,
Ashwood - Chadstone,2016-04-01,1,,
Clayton,2016-04-01,3,76,216
Glen Waverley - East,2016-04-01,1,,
Glen Waverley - West,2016-04-01,5,543,1333
Mount Waverley - South,2016-04-01,1,,
Mulgrave,2016-04-01,1,,
Oakleigh - Huntingdale,2016-04-01,1,,
Ardeer - Albion,2016-04-01,2,,
Taylors Lakes,2016-04-01,1,,
Williamstown,2016-04-01,3,143,344
Footscray,2016-04-01,2,,
Caroline Springs,2016-04-01,2,,
Melton,2016-04-01,1,,
Melton South,2016-04-01,1,,
Hoppers Crossing - North,2016-04-01,1,,
Laverton,2016-04-01,1,,
Point Cook,2016-04-01,2,,
Werribee - South,2016-04-01,4,191,431
Nhill Region,2016-04-01,3,,
Buloke,2016-04-01,3,,
Mildura,2016-04-01,23,892,2417
Mildura Region,2016-04-01,1,,
Red Cliffs,2016-04-01,1,,
Gannawarra,2016-04-01,2,,
Kerang,2016-04-01,1,,
Swan Hill,2016-04-01,13,348,981
Swan Hill Region,2016-04-01,1,,
Lorne - Anglesea,2016-04-01,11,325,990
Torquay,2016-04-01,4,260,673
Portland,2016-04-01,6,176,524
Camperdown,2016-04-01,2,,
Colac,2016-04-01,4,111,304
Corangamite - South,2016-04-01,6,116,380
Moyne - West,2016-04-01,5,124,384
Otway,2016-04-01,9,,
Warrnambool - North,2016-04-01,7,166,495
Warrnambool - South,2016-04-01,14,546,1524
Horsham,2016-04-01,14,,
Hamilton (Vic.),2016-04-01,5,126,326
Southern Grampians,2016-04-01,1,,
Maryborough (Vic.),2016-04-01,3,61,180
Bendigo,2016-04-01,12,468,1234
California Gully - Eaglehawk,2016-04-01,1,,
East Bendigo - Kennington,2016-04-01,4,154,339
Kangaroo Flat - Golden Square,2016-04-01,10,,
White Hills - Ascot,2016-04-01,1,,
Castlemaine,2016-04-01,3,55,156
Loddon,2016-04-01,1,,
Carrum Downs,2016-04-01,1,,
Frankston,2016-04-01,5,253,621
Seaford (Vic.),2016-04-01,1,,
Flinders,2016-04-01,3,,
Hastings - Somers,2016-04-01,2,,
Mornington,2016-04-01,2,,
Mount Eliza,2016-04-01,2,,
Point Nepean,2016-04-01,8,277,714
