lga_code_2016,lga_name_2016,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
27260,Wyndham (C),35129,557,2018,5989,10170,4730,1857,2450,816,13512,23111,5372,1367,12463,1178,453,1543,720,767,266
27350,Yarra (C),36421,1349,3497,5593,4549,1985,2785,256,1339,6423,1591,14908,3609,27643,4366,3266,6451,5225,2435,1696
27450,Yarra Ranges (S),15148,559,1370,2482,3668,152,913,775,120,3442,537,5980,2947,10779,1910,1482,1599,1122,1598,616
27630,Yarriambiack (S),406,0,0,0,0,955,0,0,0,0,103,790,0,48,122,131,0,0,0,47
29399,Unincorporated Vic,4775,581,3690,6531,4859,640,1884,1255,2510,37850,3509,10911,5319,22785,27655,9202,14848,5038,6084,5670
30250,Aurukun (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30300,Balonne (S),1114,0,51,0,0,571,266,229,143,0,0,0,126,1147,530,394,671,156,8,0
30370,Banana (S),3060,0,0,0,41,0,0,0,183,307,0,1503,698,5342,1748,1523,532,550,1040,851
30410,Barcaldine (R),2347,0,141,33,0,0,0,0,0,0,0,246,56,883,67,144,0,907,0,349
30450,Barcoo (S),0,0,0,0,0,0,0,0,0,0,0,240,504,202,0,0,0,0,131,340
30760,Blackall-Tambo (R),1951,0,0,0,0,0,0,0,0,237,0,79,0,244,749,44,0,101,157,80
30900,Boulia (S),809,294,0,0,282,0,0,0,0,0,0,291,0,436,288,333,0,0,61,604
31000,Brisbane (C),533220,117392,116532,111391,78046,42700,126412,30319,122804,680114,85624,294196,102127,443061,198896,90520,91949,45009,44192,53942
31750,Bulloo (S),0,0,0,0,0,0,0,0,0,0,0,247,110,0,0,0,0,0,0,0
31820,Bundaberg (R),16317,4472,2861,332,158,977,9919,650,2779,3986,878,8624,3895,24888,20324,3697,10346,4547,3488,3691
31900,Burdekin (S),1706,1078,0,13,0,0,582,0,128,133,586,1102,506,3951,3769,1356,1174,665,841,301
31950,Burke (S),1381,0,0,0,0,0,0,0,0,0,0,0,302,739,850,0,423,511,339,263
