X,Y,id,ENO,NAME,SYNONYMS,STATE,LONGITUDE,LATITUDE,ACCURACY,SIGNIFICANT,SIGNIFICANCE_VALUE,SIGNIFICANCE_CALC_METHOD,ACCESS_CODE,COMMODIDS,COMMODNAMES,OPERATING_STATUS
142.347,-33.4084,mineral_deposits.3577,"334439",Crayfish,,NSW,142.346952,-33.408445,"250",N,"4",AUTO,O,"Rt, Zrn, Ilm, Leu","Rutile, Zircon, Ilmenite, Leucoxene",mineral deposit
119.5947,-24.3583,mineral_deposits.3578,"335865",Ilgarari,,WA,119.594697389,-24.3582585784,"100",N,"5",AUTO,O,Cu,Copper,mineral deposit
120.3963,-33.6421,mineral_deposits.3579,"335492",Ravensthorpe (Bandalup),,WA,120.3963083991,-33.6421198816,"100",Y,"2",AUTO,O,"Ni, Co","Nickel, Cobalt",care and maintenance
122.395,-28.1542,mineral_deposits.3580,"335160",King Of Creation,,WA,122.395,-28.1542,"999",N,"5",AUTO,O,Au,Gold,mineral deposit
119.4388,-29.7079,mineral_deposits.3581,"335681",Gwendolyn - Johnston Range,Gewndolyn C,WA,119.4388,-29.7079,"999",N,"5",AUTO,O,Au,Gold,under development
121.2311,-30.7111,mineral_deposits.3582,"335240",Kundana,,WA,121.2311410569,-30.7111429732,"100",N,"6",AUTO,O,Au,Gold,mineral deposit
122.357,-30.0655,mineral_deposits.3583,"336054",Lake Rebecca (Heron),"North Rebecca, South Rebecca, Mulgabbie?",WA,122.3570186067,-30.0654884581,"100",Y,"3",AUTO,O,"Ni, Co","Nickel, Cobalt",mineral deposit
118.4427,-26.6838,mineral_deposits.3584,"334358",Maranui,Yaloginda Project,WA,118.4427,-26.6838,"999",N,"6",AUTO,O,Au,Gold,historic mine
119.7147,-25.5036,mineral_deposits.3585,"334675",Thaduna,,WA,119.7147156383,-25.503579846,"100",N,"4",AUTO,O,"Cu, (Ag, Pb, Zn)","Copper, (Silver, Lead, Zinc)",mineral deposit
118.3014,-22.296,mineral_deposits.3586,"334962",Wittenoom Gorge,,WA,118.3013912522,-22.2960483947,"100",N,"6",AUTO,O,Asb,Asbestos,historic mine
118.4669,-27.059,mineral_deposits.3587,"335869",Alliance,Burnakura Project,WA,118.4669,-27.059,"500",N,"5",AUTO,O,Au,Gold,under development
